PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
621366,Ryan Borucki,San Francisco Giants,P,21,0,1,1,0,23.2,71,15,9,4.94,1.52
679775,Kyle Backhus,Philadelphia Phillies,P,21,1,2,1,0,20.0,60,20,6,4.95,1.55
672335,Cionel Pérez,New York Mets,P,36,2,4,3,0,41.2,125,41,16,4.97,1.44
663776,Patrick Sandoval,Boston Red Sox,P,12,12,1,6,0,57.2,173,62,29,4.99,1.79
518876,Merrill Kelly,Arizona Diamondbacks,P,28,28,9,14,0,156.2,470,111,69,5.0,1.47
656756,Jordan Montgomery,Texas Rangers,P,9,0,0,0,0,18.0,54,14,4,5.0,1.17
702566,Owen Murphy,Atlanta Braves,P,4,1,0,1,0,9.0,27,8,3,5.0,1.56
691008,Max Rajcic,St. Louis Cardinals,P,6,0,0,0,0,9.0,27,8,6,5.0,1.33
699008,Antwone Kelly,Pittsburgh Pirates,P,6,0,0,0,0,14.1,43,9,6,5.02,1.53
579328,Yusei Kikuchi,Los Angeles Angels,P,12,12,1,6,0,57.1,172,58,28,5.02,1.55
682052,Jacob Lopez,Athletics,P,25,22,6,4,0,114.2,344,107,56,5.02,1.48
702275,JR Ritchie,Atlanta Braves,P,15,9,1,3,1,62.2,188,58,38,5.03,1.47
677944,Slade Cecconi,Cleveland Guardians,P,26,21,4,7,0,118.0,354,97,39,5.03,1.47
623149,Paul Sewald,Toronto Blue Jays,P,58,0,2,5,24,50.0,150,51,12,5.04,1.02
607625,Seth Lugo,Kansas City Royals,P,31,31,7,9,0,169.0,507,131,54,5.06,1.46
641401,Connor Brogdon,Cleveland Guardians,P,16,0,2,2,1,16.0,48,15,3,5.06,1.13
669724,Brenan Hanifee,Detroit Tigers,P,23,2,0,1,0,21.1,64,10,7,5.06,1.45
676272,Bobby Miller,Los Angeles Dodgers,P,2,0,1,0,0,5.1,16,3,2,5.06,1.13
691951,Sam Aldegheri,Los Angeles Angels,P,9,6,3,4,0,33.2,101,22,17,5.08,1.43
690279,Mason Adams,Colorado Rockies,P,5,5,0,1,0,23.0,69,23,12,5.09,1.65
686560,Gavin Collyer,Texas Rangers,P,23,0,1,1,0,23.0,69,22,19,5.09,1.48
656849,David Peterson,Chicago Cubs,P,30,21,8,8,1,137.1,412,124,62,5.11,1.55
605447,Jordan Romano,Colorado Rockies,P,36,0,0,4,15,31.2,95,36,18,5.12,1.42
686790,Trevor McDonald,San Francisco Giants,P,14,14,3,7,0,70.1,211,57,23,5.12,1.31
686753,Drey Jameson,Arizona Diamondbacks,P,12,0,0,0,0,19.1,58,13,10,5.12,1.5
666157,Nick Lodolo,Cincinnati Reds,P,19,19,3,5,0,96.2,290,79,42,5.12,1.49
683232,Nick Mears,Kansas City Royals,P,21,0,2,3,0,19.1,58,15,11,5.12,1.5
669212,Eli Morgan,Kansas City Royals,P,16,0,0,1,1,19.1,58,16,9,5.12,1.71
837227,Tatsuya Imai,Houston Astros,P,21,15,6,4,0,73.2,221,92,51,5.13,1.48
675627,Michael Grove,Tampa Bay Rays,P,3,0,1,0,0,7.0,21,6,0,5.14,1.0
690155,Matt Pushard,St. Louis Cardinals,P,6,0,0,0,0,7.0,21,6,4,5.14,1.43
608337,Lucas Giolito,San Diego Padres,P,7,5,2,3,0,29.2,89,18,23,5.16,1.85
677053,Andrew Nardi,Miami Marlins,P,25,0,3,3,0,22.2,68,27,11,5.16,1.41
661563,Luis Gil,New York Yankees,P,7,4,1,2,0,24.1,73,16,14,5.18,1.44
657571,Caleb Ferguson,St. Louis Cardinals,P,35,1,1,0,1,33.0,99,31,19,5.18,1.7
670103,Raymond Burgos,Boston Red Sox,P,7,0,0,0,1,17.1,52,12,1,5.19,1.04
685005,Christian Roa,Houston Astros,P,7,0,0,1,0,8.2,26,6,7,5.19,1.96
